age,salary
56,117619.0
46,96500.0
32,
60,96382.0
25,
38,73821.0
56,77070.0
36,70776.0
40,80735.0
28,67713.0
28,46146.0
41,73095.0
53,
57,124664.0
41,
20,
39,86277.0
19,
41,
61,104687.0
47,90135.0
55,103125.0
19,
38,62650.0
50,107398.0
29,81030.0
39,
61,128272.0
42,78155.0
44,95561.0
59,122728.0
45,90429.0
33,67883.0
32,54275.0
64,138474.0
61,100676.0
20,
54,93663.0
24,66561.0
38,
26,60128.0
56,109737.0
35,78149.0
21,
42,74200.0
31,
26,
43,95562.0
19,
37,72469.0
45,65859.0
64,111759.0
24,66322.0
61,115512.0
25,
64,118746.0
52,87004.0
31,
34,
53,99647.0
57,104776.0
21,
19,
23,
59,117315.0
21,
46,91767.0
35,82664.0
43,88442.0
61,99072.0
51,99074.0
27,65239.0
53,97247.0
31,76086.0
48,83902.0
65,116067.0
32,79566.0
25,52592.0
31,62414.0
40,70355.0
57,99726.0
38,73182.0
33,
62,117598.0
35,
64,117033.0
41,88729.0
43,82099.0
42,83243.0
62,108271.0
58,103927.0
46,88929.0
32,
62,109914.0
18,
42,86496.0
24,
26,56502.0
41,82636.0
18,
61,102229.0
25,
41,53433.0
28,
34,86122.0
25,
52,87755.0
52,
50,96497.0
22,
59,103318.0
56,103626.0
58,101012.0
45,98734.0
24,46457.0
26,
25,74908.0
29,
51,114964.0
50,87608.0
65,115351.0
40,63284.0
41,74280.0
54,106429.0
52,94010.0
61,123819.0
57,106033.0
39,78015.0
44,77177.0
52,105581.0
18,
52,102499.0
54,101431.0
64,120221.0
31,81011.0
20,
18,
22,57149.0
43,97169.0
31,
56,110140.0
44,95954.0
26,
32,
32,72456.0
43,
59,94777.0
30,
49,102835.0
56,
49,89529.0
21,
47,87665.0
54,
40,83778.0
56,128454.0
62,93693.0
32,
60,107840.0
46,84394.0
53,
30,
49,102659.0
24,
39,84980.0
45,93985.0
19,
59,108687.0
62,127636.0
23,
45,105543.0
45,81704.0
61,
61,110863.0
37,70210.0
47,82973.0
28,62851.0
45,71209.0
42,80230.0
56,111686.0
50,95115.0
18,
44,88846.0
30,
58,117946.0
20,
56,112530.0
23,
25,48789.0
44,84104.0
26,
54,93980.0
50,105360.0
59,125076.0
61,105523.0
41,72650.0
32,
49,103975.0
49,73558.0
41,82148.0
58,
29,59235.0
56,109171.0
19,
20,
54,113260.0
34,73796.0
19,
19,
45,
40,79384.0
54,89546.0
49,89216.0
50,98424.0
18,
36,79545.0
19,
61,117012.0
43,85033.0
49,88034.0
23,
49,94216.0
21,
28,
34,76809.0
55,103534.0
41,84948.0
22,
